location,highest_infection_count,percentage_contracted
Andorra,13232,17.12547725
Montenegro,97389,15.50627167
Czechia,1630758,15.22794604
San Marino,5066,14.92722023
Slovenia,240292,11.55843481
Luxembourg,67205,10.73603461
Bahrain,176934,10.39819979
Serbia,689557,10.13369493
United States,32346971,9.772420642
Israel,838481,9.687216547
Sweden,973604,9.640340341
Estonia,122019,9.198297223
Lithuania,247269,9.083121533
Netherlands,1522973,8.888148748
Belgium,990229,8.544105344
Panama,364576,8.449492534
France,5677835,8.331662086
Portugal,836493,8.203560228
Croatia,332183,8.091627636
Hungary,779348,8.067492379
Georgia,310310,7.778801381
Lebanon,526578,7.714928938
Liechtenstein,2926,7.672339198
Switzerland,659974,7.625686079
Spain,3524077,7.537361472
Cyprus,65233,7.447548176
Poland,2792142,7.37752303
North Macedonia,152367,7.313452179
Armenia,216064,7.291493011
Qatar,205652,7.138067239
Slovakia,382211,7.000659201
Jordan,711373,6.972098785
European Union,30771214,6.91613751
Brazil,14659011,6.896430071
Austria,618870,6.871446971
Malta,30292,6.860549125
Italy,4022653,6.653211014
Argentina,2977363,6.587701767
United Kingdom,4432246,6.528954039
Kuwait,273991,6.415805129
North America,37529488,6.338667437
Latvia,118558,6.285540997
Chile,1198245,6.268214582
Monaco,2454,6.2531852
Moldova,250837,6.218128426
Bosnia and Herzegovina,198461,6.049137181
Europe,44863478,5.992343039
Seychelles,5873,5.972137482
Bulgaria,404380,5.819719376
Palestine,296462,5.811366883
South America,24878216,5.775426959
Turkey,4820591,5.715727209
Uruguay,198428,5.712250848
Colombia,2859724,5.620208163
Maldives,29835,5.519460097
Romania,1055265,5.485406194
Peru,1799445,5.457519728
Kosovo,103638,5.362137529
United Arab Emirates,520236,5.260009706
Ireland,248870,5.040102912
Costa Rica,250991,4.927078585
Ukraine,2124070,4.856820105
Albania,131085,4.555042046
Denmark,251249,4.337710539
Cape Verde,23882,4.295416448
Germany,3405365,4.064460082
Paraguay,279077,3.912735032
Belarus,358738,3.796442094
Oman,193253,3.784360777
Vatican,27,3.337453646
Greece,345033,3.31028635
Russia,4750755,3.255403145
Canada,1228367,3.254628505
Belize,12668,3.185948428
Azerbaijan,319109,3.147287624
Iran,2499077,2.975341277
South Africa,1581210,2.666067991
Bahamas,10453,2.65811905
Iraq,1065199,2.64826632
Tunisia,309119,2.615525775
Bolivia,303732,2.601998162
Libya,177508,2.583329731
Saint Lucia,4552,2.478911283
Dominican Republic,266561,2.457258103
Ecuador,381862,2.164375114
Honduras,212333,2.143779946
Norway,112970,2.083839829
Kazakhstan,375539,2.000025883
Botswana,46934,1.995811407
World,151399480,1.942314167
Namibia,48351,1.902896436
Iceland,6472,1.896556777
Mexico,2344755,1.818587555
Suriname,10363,1.766518818
Guyana,13283,1.688748079
Saint Vincent and the Grenadines,1864,1.68008148
Eswatini,18458,1.590981965
Finland,86808,1.566728355
Jamaica,45578,1.53919358
Kyrgyzstan,95275,1.460334316
India,19164969,1.388761457
Morocco,511249,1.385102333
Barbados,3855,1.341471478
Guatemala,227671,1.270799858
Malaysia,408713,1.262785099
Antigua and Barbuda,1232,1.258067151
Saudi Arabia,417363,1.198841255
Mongolia,37285,1.137330049
Djibouti,11100,1.123479507
Nepal,323187,1.109205236
El Salvador,69198,1.066849455
Sao Tome and Principe,2302,1.050369363
Singapore,61145,1.045152395
Gabon,23075,1.03673944
Philippines,1037460,0.946750984
Cuba,106707,0.942090736
Asia,39526308,0.851888098
Trinidad and Tobago,10824,0.773424052
Venezuela,197683,0.695187074
Indonesia,1668368,0.609953902
Equatorial Guinea,7694,0.548402157
Sri Lanka,108146,0.505042439
Lesotho,10731,0.50092146
Zambia,91586,0.498184395
Japan,593264,0.469070695
Bangladesh,759132,0.460947747
Comoros,3834,0.440894899
Mauritania,18402,0.395770874
Pakistan,825519,0.373720082
Africa,4557699,0.339975042
Ghana,92562,0.297886151
Kenya,159318,0.296288169
Algeria,122108,0.278460879
Cameroon,72250,0.272170459
Uzbekistan,90808,0.271318116
Myanmar,142817,0.262483993
Zimbabwe,38257,0.257398829
Gambia,5898,0.244055442
Dominica,174,0.241696879
Senegal,40344,0.240947018
South Korea,122634,0.239196322
Ethiopia,257442,0.223933522
Mozambique,69917,0.223695495
Egypt,227552,0.222361194
Rwanda,25116,0.193912868
Congo,10678,0.193508916
Guinea-Bissau,3734,0.189735965
Malawi,34078,0.178139468
Cote d'Ivoire,46036,0.174522405
Timor,2276,0.172627996
Guinea,22215,0.169156719
Togo,12967,0.156630172
Afghanistan,59745,0.153474303
Grenada,160,0.142198207
Tajikistan,13308,0.139531343
Bhutan,1074,0.139189126
Madagascar,37014,0.133667887
Central African Republic,6411,0.132739405
Syria,22733,0.12989798
Papua New Guinea,10997,0.122912337
Australia,29811,0.116906428
Haiti,13056,0.114500874
Nicaragua,6898,0.104127765
Eritrea,3671,0.103512634
Oceania,43570,0.102090527
Mauritius,1209,0.095064583
South Sudan,10583,0.094544008
Thailand,65153,0.093342436
Uganda,41866,0.091528388
Somalia,13915,0.087553063
Saint Kitts and Nevis,44,0.082719206
Angola,26652,0.081092262
Cambodia,13402,0.080160436
Nigeria,165110,0.080096212
Sudan,33944,0.077410641
Mali,13858,0.06843175
Benin,7821,0.064512681
Burkina Faso,13310,0.063674224
New Zealand,2613,0.054186515
Brunei,224,0.05120199
Sierra Leone,4054,0.050821206
Liberia,2099,0.041501266
Burundi,3995,0.033597457
Democratic Republic of Congo,29853,0.033332439
Chad,4817,0.029325711
Niger,5228,0.021597383
Yemen,6317,0.021179531
Fiji,117,0.013051568
Laos,757,0.010404703
China,102494,0.007120983
Marshall Islands,4,0.006757442
Taiwan,1128,0.004736158
Vietnam,2928,0.003008057
Solomon Islands,20,0.002911725
Samoa,3,0.001512021
Vanuatu,4,0.001302295
Micronesia (country),1,0.000869406
Tanzania,509,0.000852108
International,721,0
Northern Cyprus,0,0
Hong Kong,0,0
Macao,0,0
Saint Helena,0,0
Faeroe Islands,0,0
Gibraltar,0,0
Guernsey,0,0
Isle of Man,0,0
Jersey,0,0
Nauru,0,0
Tonga,0,0
Anguilla,0,0
Bermuda,0,0
Cayman Islands,0,0
Greenland,0,0
Montserrat,0,0
Turks and Caicos Islands,0,0
Aruba,0,0
Curacao,0,0
Falkland Islands,0,0
